Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90
Jaydee Canvot,fr FRA,DF,Crystal Palace,eng Premier League,19.0,2006.0,20,14,1336,14.8,0,0,0,0,0,0,3,0,7,1,12,7,0,5,12,22,0,14.3,0.0,0.0,1.4,-0.67,-0.67,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.20209580838323352,0.0,0.4715568862275449,0.06736526946107785,0.8083832335329341,0.4715568862275449,0.0,0.33682634730538924,0.8083832335329341,1.4820359281437128,0.0
Nicolás Capaldo,ar ARG,"DF,MF",Hamburger SV,de Bundesliga,26.0,1998.0,26,24,2001,22.2,1,3,4,1,0,0,10,0,22,6,31,46,2,21,35,46,0,27.3,0.05,0.17,1.04,-0.31,0.28,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.04497751124437781,0.13493253373313344,0.17991004497751123,0.04497751124437781,0.0,0.0,0.44977511244377816,0.0,0.9895052473763118,0.2698650674662669,1.394302848575712,2.0689655172413794,0.08995502248875561,0.9445277361319341,1.5742128935532234,2.0689655172413794,0.0
Maxence Caqueret,fr FRA,MF,Como,it Serie A,25.0,2000.0,30,17,1485,16.5,2,6,8,2,0,0,3,0,18,4,26,23,2,36,14,23,0,22.2,0.11,0.5,1.9,1.27,0.58,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.12121212121212122,0.36363636363636365,0.48484848484848486,0.12121212121212122,0.0,0.0,0.18181818181818182,0.0,1.0909090909090908,0.24242424242424243,1.5757575757575757,1.393939393939394,0.12121212121212122,2.1818181818181817,0.8484848484848484,1.393939393939394,0.0
Antonio Caracciolo,it ITA,DF,Pisa,it Serie A,35.0,1990.0,35,34,3073,34.1,2,0,2,2,0,0,10,0,25,6,41,11,2,3,57,44,1,24.0,0.08,0.33,0.49,-1.14,0.41,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.05857468272046859,0.0,0.05857468272046859,0.05857468272046859,0.0,0.0,0.292873413602343,0.0,0.7321835340058575,0.1757240481614058,1.2007809957696063,0.3221607549625773,0.05857468272046859,0.0878620240807029,1.669378457533355,1.2886430198503092,0.029287341360234295
Sergi Cardona,es ESP,DF,Villarreal,es La Liga,26.0,1999.0,31,20,1970,21.9,1,4,5,1,0,0,4,0,18,5,28,23,1,75,37,31,0,27.8,0.06,0.2,1.94,0.37,-0.75,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.045685279187817264,0.18274111675126906,0.22842639593908629,0.045685279187817264,0.0,0.0,0.18274111675126906,0.0,0.8223350253807107,0.22842639593908629,1.2791878172588833,1.0507614213197969,0.045685279187817264,3.426395939086295,1.6903553299492386,1.4162436548223352,0.0
Igor Carioca,br BRA,DF,Lorient,fr Ligue 1,28.0,1996.0,17,13,1213,13.5,1,0,1,1,0,0,1,0,8,1,9,18,1,21,13,19,0,12.5,0.13,1.0,1.53,-0.07,0.02,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.0741962077493817,0.0,0.0741962077493817,0.0741962077493817,0.0,0.0,0.0741962077493817,0.0,0.5935696619950536,0.0741962077493817,0.6677658697444353,1.3355317394888706,0.0741962077493817,1.5581203627370155,0.964550700741962,1.4097279472382522,0.0
Diego Carlos,br BRA,DF,Como,it Serie A,32.0,1993.0,27,21,1949,21.7,1,0,1,1,0,0,8,0,8,2,39,7,2,2,22,18,0,25.0,0.13,0.5,2.0,0.83,-0.27,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.04617752693689071,0.0,0.04617752693689071,0.04617752693689071,0.0,0.0,0.36942021549512566,0.0,0.36942021549512566,0.09235505387378141,1.800923550538738,0.323242688558235,0.09235505387378141,0.09235505387378141,1.0159055926115956,0.8311954848640329,0.0
David Carmo,ao ANG,DF,Oviedo,es La Liga,26.0,1999.0,22,20,1786,19.8,1,0,1,1,0,0,8,1,10,3,20,4,0,2,21,18,0,30.0,0.1,0.33,0.59,-1.06,-0.34,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.05039193729003359,0.0,0.05039193729003359,0.05039193729003359,0.0,0.0,0.40313549832026874,0.05039193729003359,0.503919372900336,0.15117581187010076,1.007838745800672,0.20156774916013437,0.0,0.10078387458006718,1.0582306830907053,0.9070548712206047,0.0
Carmona,es ESP,"DF,MF",Sevilla,es La Liga,23.0,2002.0,35,29,2565,28.5,1,3,4,1,0,0,13,0,20,3,49,44,3,48,45,40,0,15.0,0.05,0.33,1.11,-0.53,-0.63,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.03508771929824561,0.10526315789473685,0.14035087719298245,0.03508771929824561,0.0,0.0,0.456140350877193,0.0,0.7017543859649122,0.10526315789473685,1.719298245614035,1.543859649122807,0.10526315789473685,1.6842105263157896,1.5789473684210527,1.4035087719298245,0.0
Sergio Carreira,es ESP,MF,Celta Vigo,es La Liga,24.0,2000.0,34,29,2694,29.9,2,1,3,2,0,0,2,0,16,7,20,36,2,32,27,18,0,43.8,0.13,0.29,1.47,0.07,-0.31,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.06681514476614699,0.03340757238307349,0.10022271714922049,0.06681514476614699,0.0,0.0,0.06681514476614699,0.0,0.5345211581291759,0.23385300668151449,0.6681514476614699,1.2026726057906458,0.06681514476614699,1.0690423162583518,0.9020044543429845,0.6013363028953229,0.0
