Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90,Gls_per90_z,Ast_per90_z,G-PK_per90_z,Sh_per90_z,SoT_per90_z,Crs_per90_z,Fld_per90_z,TklW_per90_z,Int_per90_z,Fls_per90_z,Off_per90_z,CrdY_per90_z
Pape Demba Diop,sn SEN,MF,Toulouse,fr Ligue 1,21.0,2003.0,16,14,1271,14.1,1,2,3,1,0,0,2,0,29,11,15,17,0,15,31,20,0,37.9,0.03,0.09,1.13,-0.28,-0.53,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.07081038552321,0.1416207710464201,0.2124311565696302,0.07081038552321,0.0,0.0,0.1416207710464201,0.0,2.053501180173092,0.7789142407553109,1.0621557828481512,1.2037765538945713,0.0,1.0621557828481512,2.1951219512195124,1.4162077104642017,0.0,-0.5007401798033241,0.17990636506250185,-0.4645395200273186,0.8725874918848057,0.9917794486268146,-0.6971475584115531,-0.061993979654040264,0.8876524750357994,3.574457799939747,-0.2721989230115523,-0.8633126317738823,-0.4048153540996774
Ousmane Dembélé,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,28.0,1997.0,22,11,1063,11.8,10,7,17,8,2,3,0,0,45,18,3,4,8,49,0,3,0,40.0,0.18,0.44,2.23,2.46,1.73,,,,,,,,,,,,,,,FW,,False,Forward,True,True,False,0.8466603951081844,0.5926622765757291,1.4393226716839136,0.6773283160865475,0.1693320790216368,0.2539981185324553,0.0,0.0,3.80997177798683,1.5239887111947317,0.2539981185324553,0.3386641580432737,0.6773283160865475,4.148635936030104,0.0,0.2539981185324553,0.0,2.434566589483437,4.826268238337405,2.0290762659285004,1.7170656373435664,1.296243340517714,2.0806625650063095,-1.642541712251727,-0.7401620995321209,-1.3152281092294456,-1.9571324926542435,0.5126436588653,-1.4507590990632495
Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,27.0,1998.0,31,25,1995,22.2,2,0,2,2,0,0,4,0,17,7,28,32,0,19,22,21,0,41.2,0.12,0.29,0.52,-1.31,-0.04,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.0902255639097744,0.0,0.0902255639097744,0.0902255639097744,0.0,0.0,0.1804511278195488,0.0,0.7669172932330828,0.3157894736842105,1.263157894736842,1.443609022556391,0.0,0.8571428571428572,0.9924812030075189,0.9473684210526316,0.0,-0.35448928020882076,-1.1563710848352395,-0.3016817311643798,-0.8237473901887798,-0.4428441959494065,-0.804074617514836,0.30121157830908846,-0.2303220895275857,0.5294350129644944,0.13330826066226178,-0.8633126317738823,-0.08177003188133031
Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27.0,1998.0,25,17,1497,16.6,12,3,15,11,1,1,5,0,41,22,37,26,8,1,2,10,0,53.7,0.27,0.5,1.92,1.2,1.09,,,,,,,,,,,,,,,FW,,False,Forward,True,True,True,0.721442885771543,0.1803607214428857,0.9018036072144288,0.6613226452905812,0.0601202404809619,0.0601202404809619,0.3006012024048096,0.0,2.464929859719439,1.3226452905811623,2.224448897795591,1.56312625250501,0.4809619238476954,0.0601202404809619,0.1202404809619238,0.6012024048096193,0.0,1.7898879939869738,0.6524351617365444,1.9351956468391416,-0.04036309368816452,0.7781335147272733,-0.7497923611285802,0.2038612272097033,0.31843276768231826,-0.7243848280877877,1.4835369285213014,-0.0963176045501374,1.5456987708992473
Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21.0,2004.0,14,12,1131,12.6,0,1,1,0,0,0,0,1,1,0,10,3,1,1,14,8,0,0.0,0.0,,0.93,-0.32,0.15,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.0,0.0795755968169761,0.0795755968169761,0.0,0.0,0.0,0.0,0.0795755968169761,0.0795755968169761,0.0,0.7957559681697614,0.2387267904509283,0.0795755968169761,0.0795755968169761,1.1140583554376655,0.636604774535809,0.0,-0.809444991619996,0.4628866798501919,-0.8221765122714052,-1.5086432615811882,-1.2246505919904345,-0.7389725056881575,-1.1921891197574286,-1.0601420225773828,0.08185528460374886,-0.6434047077147196,0.22651962597537076,-1.7816770450708828
Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,23.0,2001.0,32,30,2763,30.7,0,2,2,0,0,0,2,0,23,7,15,11,0,0,26,9,0,30.4,0.0,0.0,1.34,0.07,-0.07,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.0651465798045602,0.0651465798045602,0.0,0.0,0.0,0.0651465798045602,0.0,0.749185667752443,0.2280130293159609,0.4885993485342019,0.3583061889250814,0.0,0.0,0.8469055374592834,0.2931596091205212,0.0,-0.809444991619996,0.2331279879470065,-0.8221765122714052,0.5373581033557173,0.48413997219955657,-0.7925672921629087,-0.9240549539000537,-1.9405353019601412,-0.6436527747878648,-1.4384712650412517,-0.807986293660309,-1.2100340985181945
Branco van den Boomen,nl NED,MF,Angers,fr Ligue 1,30.0,1995.0,15,14,1238,13.8,0,1,1,0,0,1,3,0,13,5,19,9,0,69,7,15,0,38.5,0.0,0.0,0.93,-0.87,-0.53,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.0,0.0726978998384491,0.0726978998384491,0.0,0.0,0.0726978998384491,0.2180936995153473,0.0,0.9450726978998384,0.3634894991922455,1.381260096930533,0.654281098546042,0.0,5.016155088852989,0.5088852988691438,1.0904684975767367,0.0,-1.0341415412128914,-0.4704225231147106,-1.0585089693537577,-0.5888530856402228,-0.29508361541839373,1.3651103018332136,-0.8941573834318974,0.11090836908396465,-0.6950042470377609,0.37157088858808085,-0.8633126317738823,0.2313936295715968
Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30.0,1995.0,19,15,1330,14.8,1,0,1,1,0,0,2,0,9,4,12,3,1,5,11,25,0,44.4,0.11,0.25,0.79,-1.22,-0.53,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.0676691729323308,0.0,0.0676691729323308,0.0676691729323308,0.0,0.0,0.1353383458646616,0.0,0.6090225563909775,0.2706766917293233,0.81203007518797,0.2030075187969925,0.0676691729323308,0.3383458646616541,0.744360902255639,1.6917293233082706,0.0,-0.5244023454598384,-1.1563710848352395,-0.4908885407117243,-1.0319284132218947,-0.582590260653298,-1.0746596866601155,-1.5775722406499562,1.5446497918215714,-0.09879246961823186,-0.7768093986162443,-0.454335853079544,-0.45708137058290194
Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,26.0,1998.0,31,30,2626,29.2,8,4,12,8,0,0,6,0,39,15,32,48,2,112,14,26,0,38.5,0.21,0.53,1.23,-0.03,0.19,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.2741812642802742,0.1370906321401371,0.4112718964204113,0.2741812642802742,0.0,0.0,0.2056359482102056,0.0,1.3366336633663365,0.5140898705255141,1.0967250571210967,1.6450875856816451,0.0685453160700685,3.8385376999238385,0.4798172124904798,0.8910891089108911,0.0,1.0312145299266688,0.13716177032091417,1.2413696904905824,-0.07258785729277446,0.17143182266332013,0.7509092034688609,0.6063334592029705,-0.36452338388701805,-0.7686031048250028,-0.20245791919646508,-0.449040647262481,0.12775259665503846
Giovanni Di Lorenzo,it ITA,"DF,MF",Napoli,it Serie A,31.0,1993.0,26,26,2276,25.3,2,1,3,2,0,0,1,0,25,9,33,23,1,38,9,26,0,36.0,0.08,0.22,2.0,0.55,-0.08,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.0790861159929701,0.039543057996485,0.1186291739894551,0.0790861159929701,0.0,0.0,0.039543057996485,0.0,0.9885764499121266,0.3558875219683655,1.304920913884007,0.9094903339191563,0.039543057996485,1.5026362038664325,0.3558875219683655,1.0281195079086116,0.0,0.6601920536755269,-0.1745665676610539,0.726611320150749,1.2688194243716455,1.442465586751249,0.21946993679660784,0.3118711574337597,-0.05652638098301464,-1.977112516073333,0.6745549083947876,-0.29391503043185896,-1.4346978136725796
Boulaye Dia,sn SEN,"FW,MF",Lazio,it Serie A,28.0,1996.0,27,14,1253,13.9,1,2,3,1,0,0,1,0,12,7,19,14,4,0,3,7,0,58.3,0.08,0.14,1.44,0.22,0.3,,,,,,,,,,,,,,,FW,MF,True,Forward,True,True,False,0.071827613727055,0.1436552274541101,0.2154828411811652,0.071827613727055,0.0,0.0,0.071827613727055,0.0,0.8619313647246608,0.5027932960893855,1.3647246608140462,1.005586592178771,0.2873104549082202,0.0,0.2154828411811652,0.5027932960893855,0.0,-1.554636772663576,0.28085614876395487,-1.5224637801704408,-2.134837304970257,-1.3315623111687755,-0.7914132434979451,-0.6368694678023215,0.018392182079562377,-0.2563784781012785,-0.017656059375637707,-0.6968594887448496,-0.7347658937426024
Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,24.0,2001.0,18,15,1277,14.2,0,0,0,0,0,0,1,0,1,0,8,4,2,1,10,15,0,0.0,0.0,,1.28,-0.42,-0.84,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0704776820673453,0.0,0.0704776820673453,0.0,0.5638214565387627,0.2819107282693813,0.1409553641346906,0.0704776820673453,0.7047768206734535,1.0571652310101802,0.0,-0.809444991619996,-0.8042256269931214,-0.8221765122714052,-1.5364420459839072,-1.2246505919904345,-0.7451000223876982,-1.0953573135003463,0.017929928170479295,-1.0296323436331831,-1.243760884008308,1.0244744661015603,-1.1632551729780567
