Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Fls,Fld,Off,Crs,Int,TklW,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90_calc,Ast_per90_calc,G-PK_per90_calc,CrdY_per90_calc,CrdR_per90_calc,Sh_per90_calc,SoT_per90_calc,Fls_per90_calc,Fld_per90_calc,Off_per90_calc,Crs_per90_calc,Int_per90_calc,TklW_per90_calc,OG_per90_calc
Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31.0,1994.0,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.29,47,50,-3,-0.08,,1,6,0,0,0,1,0,50.0,1.32,145.0,99.0,67.6,13.0,10.0,15.0,11.0,28.9,4.0,3.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.10526315789473685,0.0,0.0,0.0,0.026315789473684213,0.15789473684210525,0.0,0.0,0.0,0.026315789473684213,0.0
Nick Pope,eng ENG,GK,Newcastle United,eng Premier League,33.0,1992.0,27,27,2416,26.8,0,0,0,0,0,0,2,0,0.0,1,1,100.0,0.04,0.04,0.0,0.0,89,70.6,89.0,26,0,,6,1.3,37,38,-1,-0.04,0.05,1,2,0,0,0,1,0,38.0,1.42,125.0,89.0,71.2,10.0,5.0,12.0,7.0,25.9,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.07450331125827815,0.0,0.037251655629139076,0.037251655629139076,0.037251655629139076,0.07450331125827815,0.0,0.0,0.0,0.037251655629139076,0.0
Ivan Provedel,it ITA,GK,Lazio,it Serie A,31.0,1994.0,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0,0,,0.0,0.0,,,90,71.1,90.0,27,0,,0,1.26,26,27,-1,-0.04,-0.22,0,2,0,0,0,0,0,27.0,1.0,112.0,87.0,78.6,8.0,10.0,9.0,12.0,44.4,4.0,3.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0
Ionuț Radu,ro ROU,GK,Celta Vigo,es La Liga,28.0,1997.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.42,53,48,5,0.13,,0,8,0,0,1,0,0,48.0,1.26,151.0,111.0,72.2,14.0,12.0,12.0,10.0,26.3,11.0,6.0,2.0,3.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.052631578947368425,0.0,0.0,0.0,0.0,0.2105263157894737,0.0,0.0,0.026315789473684213,0.0,0.0
Diant Ramaj,de GER,GK,Heidenheim,de Bundesliga,23.0,2001.0,31,31,2790,31.0,0,1,1,0,0,0,2,0,0.03,0,0,,0.0,0.0,,,90,91.2,90.0,31,0,,2,0.74,38,67,-29,-0.94,-0.27,2,2,0,0,0,0,0,67.0,2.16,162.0,100.0,61.7,5.0,8.0,18.0,1.0,3.2,6.0,5.0,0.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,eng ENG,GK,Newcastle United,eng Premier League,27.0,1998.0,12,11,1004,11.2,0,0,0,0,0,0,2,0,0.0,0,0,,0.0,0.0,,,84,29.4,90.0,11,1,14.0,26,1.17,16,17,-1,-0.09,-0.05,0,1,0,0,0,0,0,17.0,1.52,38.0,24.0,63.2,4.0,2.0,5.0,1.0,9.1,3.0,3.0,0.0,0.0,GK,,False,Goalkeeper,True,True,False,0.0,0.0,0.0,0.17928286852589642,0.0,0.0,0.0,0.0,0.08964143426294821,0.0,0.0,0.0,0.0,0.0
Federico Ravaglia,it ITA,GK,Bologna,it Serie A,25.0,1999.0,17,16,1470,16.3,0,0,0,0,0,0,4,0,0.0,0,0,,0.0,0.0,,,86,43.0,90.0,16,1,30.0,20,0.88,16,29,-13,-0.8,-1.53,2,3,0,0,0,1,0,29.0,1.78,79.0,52.0,65.8,4.0,3.0,9.0,2.0,12.5,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.24489795918367346,0.0,0.0,0.0,0.12244897959183673,0.1836734693877551,0.0,0.0,0.0,0.061224489795918366,0.0
David Raya,es ESP,GK,Arsenal,eng Premier League,29.0,1995.0,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0,0,,0.0,0.0,,,90,97.4,90.0,37,0,,0,2.22,69,26,43,1.16,0.16,0,14,0,1,1,1,0,26.0,0.7,86.0,59.0,69.8,25.0,7.0,5.0,19.0,51.4,0.0,0.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.027027027027027025,0.0,0.0,0.0,0.0,0.3783783783783784,0.0,0.027027027027027025,0.027027027027027025,0.027027027027027025,0.0
Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30.0,1995.0,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0,0,,0.0,0.0,,,90,97.4,90.0,37,0,,0,1.22,58,60,-2,-0.05,-0.05,0,7,1,0,1,1,1,60.0,1.62,154.0,99.0,64.3,11.0,12.0,14.0,3.0,8.1,5.0,5.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.027027027027027025,0.0,0.0,0.0,0.0,0.1891891891891892,0.027027027027027025,0.0,0.027027027027027025,0.027027027027027025,0.027027027027027025
Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20.0,2005.0,34,34,3029,33.7,0,0,0,0,0,0,3,0,0.0,0,0,,0.0,0.0,,,89,99.0,89.0,33,0,,0,1.29,46,45,1,0.03,0.03,0,8,0,0,1,0,0,45.0,1.34,125.0,85.0,68.0,12.0,8.0,13.0,10.0,29.4,5.0,5.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.08913832948167713,0.0,0.0,0.0,0.0,0.237702211951139,0.0,0.0,0.029712776493892375,0.0,0.0
